department,total_items,unique_products,reorder_rate
produce,9479291,1684,0.6499125303780631
dairy eggs,5414016,3448,0.6699686517365298
snacks,2887550,6263,0.5741798410417136
beverages,2690129,4363,0.6534601128793452
frozen,2236432,4007,0.5418854675661947
pantry,1875577,5370,0.3467205025440171
bakery,1176787,1516,0.6281408615152955
canned goods,1068058,2092,0.4574049349379903
deli,1051249,1322,0.6077190085317561
dry goods pasta,866627,1858,0.4610761030985649
household,738666,3083,0.40217770954666926
breakfast,709569,1114,0.5609221936133061
meat seafood,708931,907,0.5676744281178281
personal care,447123,6563,0.32112863798104774
babies,423802,1081,0.5789708401564881
international,269253,1139,0.36922894081031593
alcohol,153696,1054,0.5699237455756818
pets,97724,972,0.6012852523433343
missing,69145,1255,0.3958493021910478
other,36291,548,0.4079799399300102
bulk,34573,38,0.577039886616724
